Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
04 Balears, Illes;América del Norte;2020;339
04 Balears, Illes;América del Norte;2019;434
04 Balears, Illes;América del Norte;2018;389
04 Balears, Illes;América del Norte;2017;362
04 Balears, Illes;América del Norte;2016;319
04 Balears, Illes;América del Norte;2015;308
04 Balears, Illes;América del Norte;2014;299
04 Balears, Illes;América del Norte;2013;275
04 Balears, Illes;Centro América y Caribe;2021;745
04 Balears, Illes;Centro América y Caribe;2020;882
04 Balears, Illes;Centro América y Caribe;2019;1.708
04 Balears, Illes;Centro América y Caribe;2018;1.379
04 Balears, Illes;Centro América y Caribe;2017;937
04 Balears, Illes;Centro América y Caribe;2016;718
04 Balears, Illes;Centro América y Caribe;2015;696
04 Balears, Illes;Centro América y Caribe;2014;649
04 Balears, Illes;Centro América y Caribe;2013;643
04 Balears, Illes;Sudamérica;2021;5.255
04 Balears, Illes;Sudamérica;2020;6.348
04 Balears, Illes;Sudamérica;2019;11.254
04 Balears, Illes;Sudamérica;2018;8.592
04 Balears, Illes;Sudamérica;2017;6.556
04 Balears, Illes;Sudamérica;2016;4.361
04 Balears, Illes;Sudamérica;2015;2.710
04 Balears, Illes;Sudamérica;2014;2.180
04 Balears, Illes;Sudamérica;2013;1.897
04 Balears, Illes;Asia;2021;758
04 Balears, Illes;Asia;2020;746
04 Balears, Illes;Asia;2019;1.278
04 Balears, Illes;Asia;2018;1.240
04 Balears, Illes;Asia;2017;1.088
04 Balears, Illes;Asia;2016;863
04 Balears, Illes;Asia;2015;733
04 Balears, Illes;Asia;2014;780
04 Balears, Illes;Asia;2013;791
04 Balears, Illes;Oceanía ;2021;83
04 Balears, Illes;Oceanía ;2020;59
04 Balears, Illes;Oceanía ;2019;66
04 Balears, Illes;Oceanía ;2018;68
04 Balears, Illes;Oceanía ;2017;83
04 Balears, Illes;Oceanía ;2016;62
04 Balears, Illes;Oceanía ;2015;44
04 Balears, Illes;Oceanía ;2014;42
04 Balears, Illes;Oceanía ;2013;44
05 Canarias;Total;2021;27.480
05 Canarias;Total;2020;26.145
05 Canarias;Total;2019;43.812
05 Canarias;Total;2018;43.816
05 Canarias;Total;2017;38.597
05 Canarias;Total;2016;31.406
05 Canarias;Total;2015;25.161
05 Canarias;Total;2014;22.270
05 Canarias;Total;2013;21.156
05 Canarias;España;2021;1.220
05 Canarias;España;2020;1.026
05 Canarias;España;2019;1.713
05 Canarias;España;2018;2.058
05 Canarias;España;2017;1.910
05 Canarias;España;2016;1.629
05 Canarias;España;2015;1.392
05 Canarias;España;2014;1.159
05 Canarias;España;2013;1.221
05 Canarias;UE27_2020 sin España;2021;9.733
05 Canarias;UE27_2020 sin España;2020;7.741
05 Canarias;UE27_2020 sin España;2019;""
05 Canarias;UE27_2020 sin España;2018;""
05 Canarias;UE27_2020 sin España;2017;""
05 Canarias;UE27_2020 sin España;2016;""
05 Canarias;UE27_2020 sin España;2015;""
05 Canarias;UE27_2020 sin España;2014;""
05 Canarias;UE27_2020 sin España;2013;""
05 Canarias;UE28 sin España;2021;""
05 Canarias;UE28 sin España;2020;""
05 Canarias;UE28 sin España;2019;15.038
05 Canarias;UE28 sin España;2018;16.180
05 Canarias;UE28 sin España;2017;16.630
05 Canarias;UE28 sin España;2016;14.692
05 Canarias;UE28 sin España;2015;12.937
05 Canarias;UE28 sin España;2014;11.923
05 Canarias;UE28 sin España;2013;10.995
05 Canarias;Europa menos UE27_2020;2021;3.672
05 Canarias;Europa menos UE27_2020;2020;3.816
05 Canarias;Europa menos UE27_2020;2019;""
05 Canarias;Europa menos UE27_2020;2018;""
05 Canarias;Europa menos UE27_2020;2017;""
05 Canarias;Europa menos UE27_2020;2016;""
05 Canarias;Europa menos UE27_2020;2015;""
05 Canarias;Europa menos UE27_2020;2014;""
05 Canarias;Europa menos UE27_2020;2013;""
05 Canarias;Europa menos UE28;2021;""
05 Canarias;Europa menos UE28;2020;""
05 Canarias;Europa menos UE28;2019;1.536
05 Canarias;Europa menos UE28;2018;1.388
05 Canarias;Europa menos UE28;2017;1.328
05 Canarias;Europa menos UE28;2016;1.055
05 Canarias;Europa menos UE28;2015;1.195
05 Canarias;Europa menos UE28;2014;1.200
05 Canarias;Europa menos UE28;2013;1.181
05 Canarias;África;2021;2.880
05 Canarias;África;2020;1.861
05 Canarias;África;2019;2.768
05 Canarias;África;2018;2.201
05 Canarias;África;2017;1.739
05 Canarias;África;2016;1.686
05 Canarias;África;2015;1.467
05 Canarias;África;2014;1.230
05 Canarias;África;2013;1.351
05 Canarias;América del Norte;2021;381
05 Canarias;América del Norte;2020;323
05 Canarias;América del Norte;2019;472
05 Canarias;América del Norte;2018;455
05 Canarias;América del Norte;2017;410
05 Canarias;América del Norte;2016;326
05 Canarias;América del Norte;2015;268
05 Canarias;América del Norte;2014;244
05 Canarias;América del Norte;2013;220
05 Canarias;Centro América y Caribe;2021;3.618
05 Canarias;Centro América y Caribe;2020;2.705
05 Canarias;Centro América y Caribe;2019;5.621
