Lugar de condena;Nacionalidad;Periodo;Total
05 Canarias;De Africa;2019;756
05 Canarias;De Africa;2018;688
05 Canarias;De Africa;2017;689
05 Canarias;De Africa;2016;612
05 Canarias;De Africa;2015;535
05 Canarias;De Africa;2014;571
05 Canarias;De Africa;2013;546
05 Canarias;De América;2021;1.297
05 Canarias;De América;2020;913
05 Canarias;De América;2019;1.096
05 Canarias;De América;2018;1.058
05 Canarias;De América;2017;1.035
05 Canarias;De América;2016;958
05 Canarias;De América;2015;824
05 Canarias;De América;2014;911
05 Canarias;De América;2013;941
05 Canarias;De Asia;2021;88
05 Canarias;De Asia;2020;83
05 Canarias;De Asia;2019;139
05 Canarias;De Asia;2018;126
05 Canarias;De Asia;2017;84
05 Canarias;De Asia;2016;81
05 Canarias;De Asia;2015;57
05 Canarias;De Asia;2014;49
05 Canarias;De Asia;2013;67
05 Canarias;De Oceanía;2021;1
05 Canarias;De Oceanía;2020;1
05 Canarias;De Oceanía;2019;5
05 Canarias;De Oceanía;2018;3
05 Canarias;De Oceanía;2017;2
05 Canarias;De Oceanía;2016;3
05 Canarias;De Oceanía;2015;1
05 Canarias;De Oceanía;2014;2
05 Canarias;De Oceanía;2013;5
06 Cantabria;Total;2021;5.207
06 Cantabria;Total;2020;4.129
06 Cantabria;Total;2019;4.897
06 Cantabria;Total;2018;4.903
06 Cantabria;Total;2017;4.615
06 Cantabria;Total;2016;4.623
06 Cantabria;Total;2015;3.376
06 Cantabria;Total;2014;3.368
06 Cantabria;Total;2013;3.268
06 Cantabria;Española;2021;4.468
06 Cantabria;Española;2020;3.510
06 Cantabria;Española;2019;4.155
06 Cantabria;Española;2018;4.230
06 Cantabria;Española;2017;4.025
06 Cantabria;Española;2016;4.004
06 Cantabria;Española;2015;2.859
06 Cantabria;Española;2014;2.852
06 Cantabria;Española;2013;2.722
06 Cantabria;País de la UE28 sin España;2021;""
06 Cantabria;País de la UE28 sin España;2020;""
06 Cantabria;País de la UE28 sin España;2019;194
06 Cantabria;País de la UE28 sin España;2018;201
06 Cantabria;País de la UE28 sin España;2017;185
06 Cantabria;País de la UE28 sin España;2016;154
06 Cantabria;País de la UE28 sin España;2015;182
06 Cantabria;País de la UE28 sin España;2014;177
06 Cantabria;País de la UE28 sin España;2013;189
06 Cantabria;País de la UE27_2020 sin España;2021;140
06 Cantabria;País de la UE27_2020 sin España;2020;149
06 Cantabria;País de la UE27_2020 sin España;2019;""
06 Cantabria;País de la UE27_2020 sin España;2018;""
06 Cantabria;País de la UE27_2020 sin España;2017;""
06 Cantabria;País de la UE27_2020 sin España;2016;""
06 Cantabria;País de la UE27_2020 sin España;2015;""
06 Cantabria;País de la UE27_2020 sin España;2014;""
06 Cantabria;País de la UE27_2020 sin España;2013;""
06 Cantabria;País de Europa menos UE28;2021;""
06 Cantabria;País de Europa menos UE28;2020;""
06 Cantabria;País de Europa menos UE28;2019;129
06 Cantabria;País de Europa menos UE28;2018;83
06 Cantabria;País de Europa menos UE28;2017;55
