Lugar de condena;Edad;Sexo;Periodo;Total
03 Asturias, Principado de;16 años;Hombres;2020;49
03 Asturias, Principado de;16 años;Hombres;2019;66
03 Asturias, Principado de;16 años;Hombres;2018;62
03 Asturias, Principado de;16 años;Hombres;2017;64
03 Asturias, Principado de;16 años;Hombres;2016;65
03 Asturias, Principado de;16 años;Hombres;2015;74
03 Asturias, Principado de;16 años;Hombres;2014;54
03 Asturias, Principado de;16 años;Hombres;2013;65
03 Asturias, Principado de;16 años;Mujeres;2021;20
03 Asturias, Principado de;16 años;Mujeres;2020;11
03 Asturias, Principado de;16 años;Mujeres;2019;19
03 Asturias, Principado de;16 años;Mujeres;2018;23
03 Asturias, Principado de;16 años;Mujeres;2017;17
03 Asturias, Principado de;16 años;Mujeres;2016;16
03 Asturias, Principado de;16 años;Mujeres;2015;17
03 Asturias, Principado de;16 años;Mujeres;2014;23
03 Asturias, Principado de;16 años;Mujeres;2013;15
03 Asturias, Principado de;17 años;Total;2021;84
03 Asturias, Principado de;17 años;Total;2020;54
03 Asturias, Principado de;17 años;Total;2019;100
03 Asturias, Principado de;17 años;Total;2018;95
03 Asturias, Principado de;17 años;Total;2017;87
03 Asturias, Principado de;17 años;Total;2016;79
03 Asturias, Principado de;17 años;Total;2015;88
03 Asturias, Principado de;17 años;Total;2014;94
03 Asturias, Principado de;17 años;Total;2013;91
03 Asturias, Principado de;17 años;Hombres;2021;74
03 Asturias, Principado de;17 años;Hombres;2020;48
03 Asturias, Principado de;17 años;Hombres;2019;86
03 Asturias, Principado de;17 años;Hombres;2018;80
03 Asturias, Principado de;17 años;Hombres;2017;66
03 Asturias, Principado de;17 años;Hombres;2016;67
03 Asturias, Principado de;17 años;Hombres;2015;74
03 Asturias, Principado de;17 años;Hombres;2014;79
03 Asturias, Principado de;17 años;Hombres;2013;81
03 Asturias, Principado de;17 años;Mujeres;2021;10
03 Asturias, Principado de;17 años;Mujeres;2020;6
03 Asturias, Principado de;17 años;Mujeres;2019;14
03 Asturias, Principado de;17 años;Mujeres;2018;15
03 Asturias, Principado de;17 años;Mujeres;2017;21
03 Asturias, Principado de;17 años;Mujeres;2016;12
03 Asturias, Principado de;17 años;Mujeres;2015;14
03 Asturias, Principado de;17 años;Mujeres;2014;15
03 Asturias, Principado de;17 años;Mujeres;2013;10
04 Balears, Illes;Total;Total;2021;504
04 Balears, Illes;Total;Total;2020;485
04 Balears, Illes;Total;Total;2019;547
04 Balears, Illes;Total;Total;2018;616
04 Balears, Illes;Total;Total;2017;498
04 Balears, Illes;Total;Total;2016;502
04 Balears, Illes;Total;Total;2015;551
04 Balears, Illes;Total;Total;2014;550
04 Balears, Illes;Total;Total;2013;553
04 Balears, Illes;Total;Hombres;2021;419
04 Balears, Illes;Total;Hombres;2020;365
04 Balears, Illes;Total;Hombres;2019;434
04 Balears, Illes;Total;Hombres;2018;447
04 Balears, Illes;Total;Hombres;2017;370
04 Balears, Illes;Total;Hombres;2016;375
04 Balears, Illes;Total;Hombres;2015;427
04 Balears, Illes;Total;Hombres;2014;447
04 Balears, Illes;Total;Hombres;2013;447
04 Balears, Illes;Total;Mujeres;2021;85
04 Balears, Illes;Total;Mujeres;2020;120
04 Balears, Illes;Total;Mujeres;2019;113
04 Balears, Illes;Total;Mujeres;2018;169
04 Balears, Illes;Total;Mujeres;2017;128
04 Balears, Illes;Total;Mujeres;2016;127
04 Balears, Illes;Total;Mujeres;2015;124
04 Balears, Illes;Total;Mujeres;2014;103
04 Balears, Illes;Total;Mujeres;2013;106
04 Balears, Illes;14 años;Total;2021;106
04 Balears, Illes;14 años;Total;2020;88
04 Balears, Illes;14 años;Total;2019;106
04 Balears, Illes;14 años;Total;2018;137
04 Balears, Illes;14 años;Total;2017;95
04 Balears, Illes;14 años;Total;2016;94
04 Balears, Illes;14 años;Total;2015;121
04 Balears, Illes;14 años;Total;2014;97
04 Balears, Illes;14 años;Total;2013;106
04 Balears, Illes;14 años;Hombres;2021;85
04 Balears, Illes;14 años;Hombres;2020;64
04 Balears, Illes;14 años;Hombres;2019;80
04 Balears, Illes;14 años;Hombres;2018;93
04 Balears, Illes;14 años;Hombres;2017;64
04 Balears, Illes;14 años;Hombres;2016;63
04 Balears, Illes;14 años;Hombres;2015;91
04 Balears, Illes;14 años;Hombres;2014;77
04 Balears, Illes;14 años;Hombres;2013;82
