Lugar de condena;Sexo;Nacionalidad;Periodo;Total
07 Castilla y León;Total;Extranjera;2015;145
07 Castilla y León;Total;Extranjera;2014;157
07 Castilla y León;Total;Extranjera;2013;175
07 Castilla y León;Hombres;Total;2021;556
07 Castilla y León;Hombres;Total;2020;484
07 Castilla y León;Hombres;Total;2019;529
07 Castilla y León;Hombres;Total;2018;562
07 Castilla y León;Hombres;Total;2017;587
07 Castilla y León;Hombres;Total;2016;540
07 Castilla y León;Hombres;Total;2015;675
07 Castilla y León;Hombres;Total;2014;659
07 Castilla y León;Hombres;Total;2013;614
07 Castilla y León;Hombres;Española;2021;474
07 Castilla y León;Hombres;Española;2020;407
07 Castilla y León;Hombres;Española;2019;439
07 Castilla y León;Hombres;Española;2018;483
07 Castilla y León;Hombres;Española;2017;475
07 Castilla y León;Hombres;Española;2016;445
07 Castilla y León;Hombres;Española;2015;563
07 Castilla y León;Hombres;Española;2014;533
07 Castilla y León;Hombres;Española;2013;473
07 Castilla y León;Hombres;Extranjera;2021;82
07 Castilla y León;Hombres;Extranjera;2020;77
07 Castilla y León;Hombres;Extranjera;2019;90
07 Castilla y León;Hombres;Extranjera;2018;79
07 Castilla y León;Hombres;Extranjera;2017;112
