Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
05 Canarias;Mujeres;Extranjera;2020;347
05 Canarias;Mujeres;Extranjera;2019;476
05 Canarias;Mujeres;Extranjera;2018;465
05 Canarias;Mujeres;Extranjera;2017;476
05 Canarias;Mujeres;Extranjera;2016;394
05 Canarias;Mujeres;Extranjera;2015;270
05 Canarias;Mujeres;Extranjera;2014;242
05 Canarias;Mujeres;Extranjera;2013;261
06 Cantabria;Total;Total;2021;3.646
06 Cantabria;Total;Total;2020;2.962
06 Cantabria;Total;Total;2019;3.475
06 Cantabria;Total;Total;2018;3.450
06 Cantabria;Total;Total;2017;3.320
06 Cantabria;Total;Total;2016;3.370
06 Cantabria;Total;Total;2015;2.580
06 Cantabria;Total;Total;2014;2.622
06 Cantabria;Total;Total;2013;2.618
06 Cantabria;Total;Española;2021;3.113
06 Cantabria;Total;Española;2020;2.496
06 Cantabria;Total;Española;2019;2.955
06 Cantabria;Total;Española;2018;2.957
06 Cantabria;Total;Española;2017;2.881
06 Cantabria;Total;Española;2016;2.897
06 Cantabria;Total;Española;2015;2.182
06 Cantabria;Total;Española;2014;2.222
06 Cantabria;Total;Española;2013;2.173
06 Cantabria;Total;Extranjera;2021;533
06 Cantabria;Total;Extranjera;2020;466
06 Cantabria;Total;Extranjera;2019;520
06 Cantabria;Total;Extranjera;2018;493
06 Cantabria;Total;Extranjera;2017;439
06 Cantabria;Total;Extranjera;2016;473
06 Cantabria;Total;Extranjera;2015;398
06 Cantabria;Total;Extranjera;2014;400
06 Cantabria;Total;Extranjera;2013;445
06 Cantabria;Hombres;Total;2021;2.890
06 Cantabria;Hombres;Total;2020;2.379
06 Cantabria;Hombres;Total;2019;2.764
06 Cantabria;Hombres;Total;2018;2.707
06 Cantabria;Hombres;Total;2017;2.668
06 Cantabria;Hombres;Total;2016;2.725
06 Cantabria;Hombres;Total;2015;2.204
06 Cantabria;Hombres;Total;2014;2.284
06 Cantabria;Hombres;Total;2013;2.280
06 Cantabria;Hombres;Española;2021;2.453
06 Cantabria;Hombres;Española;2020;1.990
06 Cantabria;Hombres;Española;2019;2.343
06 Cantabria;Hombres;Española;2018;2.349
06 Cantabria;Hombres;Española;2017;2.325
06 Cantabria;Hombres;Española;2016;2.352
06 Cantabria;Hombres;Española;2015;1.867
06 Cantabria;Hombres;Española;2014;1.947
